Name	Set	ImageFile	Rarity	Organization	Type	Value	Cost	STR	DEF	Text
Leonidas	2	02-112	N	Zephyr	UNIT	4	CP	11	7	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・[TRIGGER] You may discard 1 UNIT card with [Attribution] from your hand. If you don't, put this card on the bottom of your deck.
Leonidas [Behemoth]	2	02-113	R	Zephyr	UNIT	6	CP	12	11	[Attribution] (・When your other UNIT card attacks for the first time this turn, this card gains the organization they have this turn.) ・When this card stuns a UNIT, target one UNIT card with an opponent's CP cost of 3 or less, and stun it.
Lechter Arundel [Royal Academy]	2	02-114	N	Erebonian Empire	UNIT	2	CP	3	1	[Secret Maneuvers] ・Loyalty - If "Giliath Osborn" is on your field, this card gains, "・[TAP]: Target one UNIT card, and tap it."
Lechter Arundel [Special Lieutenant]	2	02-115	N	Erebonian Empire	UNIT	4	CP	6	8	・Loyalty - If "Giliath Osborn" is on your field, this card gains, "・[TAP], Discard one Erebonian Empire card from your hand: Target one UNIT card with a CP cost of 3 or less, and stun it." [Arts] (4 EP) "Lorelai" - Target one UNIT card, and tap it.
Recluse Cube [Ancient Relic]	2	02-116	SR	None	ITEM	2	CP	None	None	・[TRIGGER] Choose one card name, and a UNIT card with that card name is considered on your field until this card leaves the field. ・Reduce the CP cost of your UNIT card with the card name you chose with this craft by 1.
Lloyd Bannings	2	02-117	SR	Crossbell Police	UNIT	3	CP	5	4	[Secret Maneuvers] [Dispatch] ・When this card Scrum Attacks, draw one card. [Arts] (2 EP) "Needle Shoot" - Target one UNIT card in combat, and it gains +1/+2 during this combat.
Lohengrin Castle	2	02-118	SR	None	BASE	4	LV	None	None	・Stunned UNIT cards are not destroyed and are not placed in the trash.
Lorence Belgar [Second Lieutenant]	2	02-119	N	Kingdom of Liberl	UNIT	4	CP	8	7	・When this card attacks by itself and stuns a UNIT card, it destroys the stunned target. [Arts] (4 EP) "Anti-Sept-All" - Target one Art in play and negate it.
Emma Millstein	2	02-120	SEC	Thors Military Academy	UNIT	1	CP	1	1	・[TRIGGER] Reveal one card from the top of your deck. You may add all Thors Military Academy cards from among them to your hand. [Arts] (1 EP) "Analyze” - Your opponent reveals their hand.
Fie Claussell	2	02-121	SEC	Thors Military Academy	UNIT	2	CP	3	2	・Your Thors Military Academy cards gain +2/+2 during Scrum Attacks. [Arts] (2 EP) "Chrono Drive" - Target one UNIT card with a CP cost of 2 or less, and untap it.
Alisa Reinford	2	02-122	PR	Thors Military Academy	UNIT	2	CP	2	2	・[TAP]: Your opponent loses 3 Bond points. [Arts] (2 EP) "Thelas" - Target one UNIT card in your trash, and add it to your hand.
Fie Claussell	2	02-123	PR	Thors Military Academy	UNIT	2	CP	3	2	・Your Thors Military Academy cards gain +2/+2 during Scrum Attacks. [Arts] (2 EP) "Chrono Drive" - Target one UNIT card with a CP cost of 2 or less, and untap it.
Rean Schwarzer	2	02-124	PR	Thors Military Academy	UNIT	3	CP	5	5	[Martial Arts] (・This card gains +1/+1 during combat with UNIT cards without [Martial Arts].) ・[TRIGGER] You may reveal one Thors Military Academy card in your hand. If you don't, place this card on the bottom of your deck. [Arts] (1 EP) "Firebolt" - Target one UNIT card with a CP cost of 1 or less, stun it.
